A,B,Trips,,,
58,48,2,,,
72,48,1,,,
81,48,1,,,
82,48,1,,,
84,48,5,,,
85,48,1,,,
86,48,4,,,
87,48,1,,,
89,48,1,,,
90,48,1,,,
102,48,3,,,
104,48,3,,,
105,48,1,,,
106,48,3,,,
107,48,13,,,
108,48,12,,,
111,48,1,,,
112,48,1,,,
119,48,2,,,
120,48,2,,,
124,48,3,,,
125,48,8,,,
126,48,7,,,
139,48,14,,,
140,48,1,,,
143,48,2,,,
152,48,3,,,
166,48,2,,,
167,48,1,,,
168,48,3,,,
170,48,18,,,
171,48,19,,,
176,48,10,,,
177,48,2,,,
91,49,1,,,
94,49,3,,,
49,50,2,,,
93,50,1,,,
111,50,1,,,
16,53,1,,,
22,53,1,,,
23,53,1,,,
35,53,1,,,
37,53,1,,,
38,53,4,,,
54,53,33,,,
58,53,2,,,
71,53,2,,,
72,53,6,,,
73,53,2,,,
84,53,1,,,
87,53,6,,,
89,53,2,,,
91,53,2,,,
102,53,1,,,
104,53,1,,,
106,53,1,,,
107,53,2,,,
109,53,3,,,
116,53,1,,,
118,53,1,,,
127,53,2,,,
129,53,4,,,
9,54,1,,,
15,54,1,,,
16,54,1,,,
22,54,1,,,
25,54,1,,,
35,54,3,,,
37,54,2,,,
38,54,6,,,
39,54,3,,,
40,54,3,,,
49,54,1,,,
53,54,32,,,
58,54,2,,,
59,54,11,,,
71,54,10,,,
72,54,7,,,
87,54,13,,,
88,54,14,,,
89,54,2,,,
107,54,7,,,
108,54,3,,,
109,54,3,,,
117,54,2,,,
127,54,31,,,
128,54,10,,,
129,54,72,,,
142,54,2,,,
143,54,4,,,
151,54,1,,,
166,54,2,,,
167,54,1,,,
168,54,2,,,
35,55,1,,,
156,55,1,,,
4,56,3,,,
5,56,1,,,
7,56,1,,,
10,56,1,,,
17,56,110,,,
21,56,1,,,
25,56,1,,,
46,56,70,,,
57,56,40,,,
63,56,1,,,
66,56,1,,,
73,56,2,,,
76,56,33,,,
77,56,2,,,
81,56,1,,,
85,56,1,,,
89,56,1,,,
104,56,3,,,
107,56,2,,,
108,56,1,,,
109,56,2,,,
119,56,2,,,
125,56,1,,,
138,56,32,,,
146,56,4,,,
147,56,146,,,
154,56,9,,,
166,56,1,,,
8,57,1,,,
17,57,16,,,
22,57,1,,,
38,57,1,,,
41,57,1,,,
46,57,37,,,
56,57,35,,,
63,57,2,,,
76,57,6,,,
108,57,1,,,
138,57,23,,,
143,57,2,,,
147,57,37,,,
155,57,3,,,
176,57,1,,,
8,58,2,,,
9,58,1,,,
15,58,37,,,
16,58,12,,,
17,58,1,,,
21,58,4,,,
22,58,3,,,
23,58,1,,,
35,58,1,,,
38,58,1,,,
39,58,1,,,
47,58,1,,,
48,58,2,,,
53,58,2,,,
54,58,2,,,
59,58,32,,,
71,58,2,,,
72,58,3,,,
73,58,2,,,
87,58,18,,,
88,58,2,,,
89,58,3,,,
102,58,1,,,
104,58,1,,,
107,58,13,,,
108,58,10,,,
109,58,2,,,
116,58,9,,,
117,58,1,,,
118,58,5,,,
119,58,3,,,
120,58,1,,,
124,58,1,,,
125,58,1,,,
139,58,1,,,
142,58,44,,,
143,58,17,,,
151,58,53,,,
152,58,12,,,
167,58,1,,,
177,58,11,,,
179,58,1,,,
14,59,1,,,
15,59,26,,,
16,59,16,,,
20,59,1,,,
21,59,1,,,
22,59,4,,,
23,59,2,,,
39,59,1,,,
47,59,1,,,
54,59,12,,,
58,59,41,,,
64,59,1,,,
71,59,1,,,
72,59,6,,,
77,59,1,,,
87,59,42,,,
90,59,1,,,
101,59,1,,,
102,59,1,,,
107,59,9,,,
108,59,4,,,
109,59,1,,,
116,59,18,,,
118,59,3,,,
124,59,1,,,
129,59,3,,,
142,59,6,,,
143,59,1,,,
151,59,18,,,
173,59,1,,,
177,59,1,,,
4,62,3,,,
5,62,1,,,
7,62,1,,,
4,63,1,,,
7,63,2,,,
46,63,1,,,
56,63,1,,,
57,63,2,,,
138,63,1,,,
147,63,2,,,
4,64,2,,,
7,64,1,,,
15,64,2,,,
28,64,1,,,
59,64,1,,,
65,64,62,,,
66,64,222,,,
67,64,177,,,
68,64,211,,,
69,64,33,,,
70,64,72,,,
75,64,2,,,
77,64,2,,,
98,64,1,,,
112,64,1,,,
130,64,8,,,
131,64,1,,,
140,64,1,,,
64,65,74,,,
66,65,16,,,
67,65,29,,,
68,65,16,,,
70,65,2,,,
97,65,1,,,
5,66,1,,,
15,66,1,,,
30,66,1,,,
64,66,224,,,
